Tick#,Operating_Phase
143222258,Taking-Off
143393138,Taking-Off
143566452,Taking-Off
143758752,Taking-Off
143892690,Taking-Off
144024897,Taking-Off
144218770,Taking-Off
144591234,Taking-Off
144745339,Taking-Off
144986710,Taking-Off
145176947,Taking-Off
145312967,Taking-Off
145485787,Taking-Off
145678592,Taking-Off
145812955,Taking-Off
146112055,Taking-Off
146254226,Taking-Off
146522856,Taking-Off
146756477,Taking-Off
146895250,Taking-Off
147049410,Taking-Off
147232926,Taking-Off
147405805,Taking-Off
147598773,Taking-Off
147732538,Taking-Off
147968131,Taking-Off
148124123,Taking-Off
148431235,Taking-Off
148569656,Taking-Off
148723310,Taking-Off
148892053,Taking-Off
149153072,Taking-Off
149325849,Taking-Off
149479727,Taking-Off
149621585,Taking-Off
149784817,Taking-Off
149967235,Taking-Off
150121391,Taking-Off
150363122,Taking-Off
150540952,Taking-Off
150735234,Taking-Off
150889392,Taking-Off
151073002,Taking-Off
151245933,Taking-Off
151424143,Taking-Off
151572537,Taking-Off
151898608,Taking-Off
152088768,Taking-Off
152271235,Taking-Off
152425463,Taking-Off
152666780,Taking-Off
152993005,Taking-Off
153165848,Taking-Off
153331258,Taking-Off
153461585,Taking-Off
153728139,Taking-Off
153920152,Taking-Off
154150545,Taking-Off
154317765,Taking-Off
154534545,Taking-Off
154688139,Resting
154912766,Resting
155085637,Taking-Off
155278397,Taking-Off
155412307,Taking-Off
155554610,Taking-Off
155738551,Taking-Off
155895253,Taking-Off
156111235,Taking-Off
156339341,Taking-Off
156506578,Taking-Off
156664074,Taking-Off
156817189,Taking-Off
157005650,Taking-Off
157198431,Taking-Off
157330353,Taking-Off
157621136,Taking-Off
157760140,Taking-Off
158042768,Taking-Off
158336139,Taking-Off
158541652,Taking-Off
158752844,Taking-Off
158925638,Taking-Off
159118379,Taking-Off
159252313,Taking-Off
159436859,Taking-Off
159578357,Taking-Off
159889642,Taking-Off
160078008,Taking-Off
160346670,Taking-Off
160601747,Taking-Off
160730663,Taking-Off
161038547,Taking-Off
161170380,Taking-Off
161304951,Taking-Off
161485006,Taking-Off
161613770,Taking-Off
161882795,Taking-Off
162124854,Taking-Off
162266650,Taking-Off
162447368,Taking-Off
162577377,Taking-Off
162716407,Taking-Off
162919934,Taking-Off
163061585,Taking-Off
163289749,Taking-Off
163418529,Taking-Off
163609007,Taking-Off
163781535,Taking-Off
163917847,Taking-Off
164186615,Taking-Off
164326551,Taking-Off
164513041,Taking-Off
164685914,Taking-Off
164878556,Taking-Off
165012315,Taking-Off
165308001,Taking-Off
165453760,Taking-Off
165593750,Taking-Off
165722493,Taking-Off
165912886,Taking-Off
166085543,Taking-Off
166221667,Taking-Off
166375767,Taking-Off
166556154,Taking-Off
166798357,Taking-Off
166932359,Taking-Off
167064897,Taking-Off
167258294,Taking-Off
167415229,Taking-Off
167631235,Taking-Off
167884863,Taking-Off
168026623,Taking-Off
168216886,Taking-Off
168352942,Taking-Off
168525624,Taking-Off
168718490,Taking-Off
168852431,Taking-Off
169049752,Taking-Off
169178310,Taking-Off
169359397,Taking-Off
169562788,Taking-Off
169873323,Taking-Off
170061686,Taking-Off
170240148,Taking-Off
170393739,Taking-Off
170624134,Taking-Off
170772334,Taking-Off
171098642,Taking-Off
171302414,Taking-Off
171461535,Taking-Off
171598340,Taking-Off
171737729,Taking-Off
171866557,Taking-Off
172121730,Taking-Off
172250574,Taking-Off
172558554,Taking-Off
172692497,Taking-Off
172824840,Taking-Off
173007254,Taking-Off
173175434,Taking-Off
173402736,Taking-Off
173542535,Taking-Off
173772941,Taking-Off
173901917,Taking-Off
174113006,Taking-Off
174285930,Taking-Off
174451215,Taking-Off
174581585,Taking-Off
174823715,Taking-Off
175004131,Taking-Off
175301535,Taking-Off
175438144,Taking-Off
175668522,Taking-Off
175822073,Taking-Off
176017517,Taking-Off
176206594,Taking-Off
176398705,Taking-Off
176532502,Taking-Off
176837535,Taking-Off
176974340,Taking-Off
177139217,Taking-Off
177308200,Taking-Off
177553420,Taking-Off
177741910,Taking-Off
177895722,Taking-Off
178049492,Taking-Off
178188957,Taking-Off
178318562,Taking-Off
178452543,Taking-Off
178584850,Taking-Off
178778613,Taking-Off
178956957,Taking-Off
179141535,Taking-Off
179277924,Taking-Off
179546621,Taking-Off
179736818,Taking-Off
179873026,Taking-Off
180045889,Taking-Off
180238665,Taking-Off
180372418,Taking-Off
180583885,Taking-Off
180813952,Taking-Off
181082964,Taking-Off
181239808,Taking-Off
181445535,Taking-Off
181581925,Taking-Off
181793015,Taking-Off
181965948,Taking-Off
182158646,Taking-Off
182292512,Taking-Off
182545696,Taking-Off
182684287,Taking-Off
182929503,Taking-Off
183117855,Taking-Off
183386652,Taking-Off
183543576,Taking-Off
183713126,Taking-Off
183885855,Taking-Off
184051220,Taking-Off
184181585,Taking-Off
184311960,Taking-Off
184465507,Taking-Off
184653855,Taking-Off
184819221,Taking-Off
184988334,Taking-Off
185295251,Taking-Off
185516369,Taking-Off
185690743,Taking-Off
185882929,Taking-Off
186063243,Taking-Off
186231801,Taking-Off
186458855,Taking-Off
186624069,Taking-Off
186831235,Taking-Off
186999978,Taking-Off
187226773,Taking-Off
187520148,Taking-Off
187725862,Taking-Off
187918705,Taking-Off
188052430,Taking-Off
188288143,Taking-Off
188441748,Taking-Off
188689445,Taking-Off
188828100,Taking-Off
189135243,Taking-Off
189339023,Taking-Off
189473069,Taking-Off
189645887,Taking-Off
189838604,Taking-Off
189972617,Taking-Off
190104767,Taking-Off
190298702,Taking-Off
190464071,Taking-Off
190671243,Taking-Off
190951750,Taking-Off
191132124,Taking-Off
191285785,Taking-Off
191439246,Taking-Off
191616068,Taking-Off
191758828,Taking-Off
191892558,Taking-Off
192027112,Taking-Off
192207235,Taking-Off
192375647,Taking-Off
192602827,Taking-Off
192794946,Taking-Off
192975254,Taking-Off
193267225,Taking-Off
193436053,Taking-Off
193678567,Taking-Off
193813154,Taking-Off
193971366,Taking-Off
194138705,Taking-Off
194316965,Taking-Off
194511236,Taking-Off
194700959,Taking-Off
194906966,Taking-Off
195187226,Taking-Off
195392192,Taking-Off
195598821,Taking-Off
195732533,Taking-Off
195864818,Taking-Off
196047244,Taking-Off
196215625,Taking-Off
196442858,Taking-Off
196599648,Taking-Off
196761674,Taking-Off
196941953,Taking-Off
197153073,Taking-Off
197304874,Taking-Off
197442843,Taking-Off
197583254,Taking-Off
197798487,Taking-Off
197978735,Taking-Off
198156969,Taking-Off
198297789,Taking-Off
198477902,Taking-Off
198746744,Taking-Off
199043080,Taking-Off
199245780,Taking-Off
199438627,Taking-Off
199572461,Taking-Off
199731365,Taking-Off
199887235,Taking-Off
200091188,Taking-Off
200282755,Taking-Off
200472947,Taking-Off
200664743,Taking-Off
200977595,Taking-Off
201116053,Taking-Off
201347006,Taking-Off
201492971,Taking-Off
201624946,Taking-Off
201818709,Taking-Off
202022483,Taking-Off
202191242,Taking-Off
202513395,Taking-Off
202652154,Taking-Off
202882943,Taking-Off
203085933,Taking-Off
203278873,Taking-Off
203412491,Taking-Off
203651166,Taking-Off
203853855,Taking-Off
204122897,Taking-Off
204300979,Taking-Off
204468808,Taking-Off
204621849,Taking-Off
204833108,Taking-Off
205006082,Taking-Off
205186981,Taking-Off
205332473,Taking-Off
205606580,Taking-Off
205773878,Taking-Off
205955114,Taking-Off
206123011,Taking-Off
206426811,Taking-Off
206660440,Taking-Off
206799235,Taking-Off
207118663,Taking-Off
207252626,Taking-Off
207394620,Taking-Off
207567235,Taking-Off
207889448,Taking-Off
208028219,Taking-Off
208220307,Taking-Off
208426419,Taking-Off
208673150,Taking-Off
208846410,Taking-Off
209027174,Taking-Off
